id,name,category,median_price,sales_per_day,tier
wj6l2,SCAR-H (А),weapon/assault_rifle,27500000.0,>100,T5 >10M
4qn7r,CR-380,weapon/sniper_rifle,2000000000.0,>100,T5 >10M
4q7pl,Продвинутые инструменты,other,50000.0,15564.71,T2 10-100k
y3nmw,Продвинутые запчасти,other,50000.0,12306.98,T2 10-100k
y409k,Блок данных «Гамма»,other,44999.5,6698.73,T2 10-100k
qjqw9,Стандартные инструменты,other,13100.0,5888.18,T2 10-100k
3gqkg,Нестабильная аномальная батарея,misc,23500.0,5400.0,T2 10-100k
9dk7y,Пси-маячок,other,15100.0,5393.12,T2 10-100k
gn976,Очищенное вещество 07270,other,35000.0,5298.62,T2 10-100k
40vn,Аммиак,misc,11110.5,4364.54,T2 10-100k
l0og1,Стандартные запчасти,other,14000.0,4285.02,T2 10-100k
96z7y,Катализатор,misc,44000.0,3354.68,T2 10-100k
p62q6,Морфин,supply/medicine,18500.0,3274.25,T2 10-100k
z30my,Цветущий рыжий папоротник,other,10950.0,3026.16,T2 10-100k
9yow,Ядро модуля,weapon_modules/weapon_module_core,119000.0,2800.0,T3 100k-1M
gn975,Портативный квантовый генератор,other,45000.0,2484.51,T2 10-100k
401j,Батарея холодного синтеза,misc,39000.0,2279.81,T2 10-100k
drmwj,Технический спирт,supply/drink,18500.0,2157.8,T2 10-100k
7rp7,Чеснок,misc,54990.0,1931.39,T2 10-100k
vjy3n,Эпинефрин,supply/medicine,13000.0,1920.0,T2 10-100k
55olq,Остатки приборов «Шепота»,misc,28000.0,1867.49,T2 10-100k
qoq6,Солнце,artefact/thermal,219999.5,1834.32,T3 100k-1M
zzqn9,Коктейль «Незабываемый»,supply/drink,12500.0,1757.41,T2 10-100k
g4lz0,«Биозаплатка»,supply/medicine,13888.0,1646.67,T2 10-100k
y7po,Реагенты,misc,42000.0,1528.38,T2 10-100k
y4y33,Блок данных «Лямбда»,other,90500.0,1519.6,T2 10-100k
z7pn,Ткань,misc,96450.0,1493.33,T2 10-100k
mrwr7,Схрон мастера,other,104899.0,1466.94,T3 100k-1M
55621,Армейский аккумулятор,other,59450.0,1462.89,T2 10-100k
m22k,Водонос,misc,14000.5,1374.55,T2 10-100k
7lyo3,«Алкобык»,supply/drink,21898.0,1338.05,T2 10-100k
1pyq,Оружейный модуль,weapon_modules/weapon_module,469999.5,1322.17,T3 100k-1M
4lml,Змеиный глаз,artefact/biochemical,172500.0,1277.49,T3 100k-1M
m0pyj,Аномальное шампанское,supply/drink,18000.0,1216.9,T2 10-100k
55ymq,Обычный артефактный фрагмент,misc,10785.0,1169.5,T2 10-100k
z301y,Цветущий северный мох,other,54000.0,1158.3,T2 10-100k
zzwmm,Сыворотка изменения,other,292500.0,1156.41,T3 100k-1M
npp9,Чертоцвет,misc,14000.0,1149.81,T2 10-100k
gn956,Камень Жмых-Вжух-Плюх,other,83998.0,1144.84,T2 10-100k
jlll,Алые минералы,misc,44990.0,1032.59,T2 10-100k
zypm,Золотистая Прима,artefact/gravity,72500.0,1023.85,T2 10-100k
gnpr5,Темный Лимб,other,149000.0,958.04,T3 100k-1M
7l127,Аномальная пыль,misc,28000.0,888.48,T2 10-100k
pjkj2,Экранированный схрон ветерана,other,93490.0,870.39,T2 10-100k
z3ogm,Расцветший Горьколистник,other,50000.0,870.22,T2 10-100k
y3knz,«Убийца Боли»,supply/medicine,86500.0,867.19,T2 10-100k
g4lzg,Водка «Гейзер»,supply/drink,75000.0,865.59,T2 10-100k
j5qd4,Сумка СБП 7.62 мм,bullet,10500.0,861.54,T2 10-100k
g0gp,Гнилые доски,misc,10500.0,859.09,T2 10-100k
5r5g,Ледяной ежик,artefact/electrophysical,87000.0,837.84,T2 10-100k
kqgy,Браслет,artefact/gravity,255000.5,832.73,T3 100k-1M
